# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
3.558308849565929919e+07,3.345680400653380012e-03,6.373312397911840010e-02,2.677001102355969775e-01,2.135064387750429837e+00,1.601908649088389962e-05,1.565393881781400020e-05
3.559820951361440122e+07,3.395041654681789801e-03,6.375075663890120148e-02,2.678173692501780168e-01,2.134002191630969936e+00,1.597296298865449833e-05,1.560782204668509848e-05
3.561308694708359987e+07,3.157910027799169968e-03,6.374202604022559393e-02,2.679638160881370190e-01,2.144716034117390091e+00,1.505580409469160044e-05,1.469065770665769939e-05
3.562808849565929919e+07,3.345680400653619838e-03,6.373312397911740090e-02,2.677001102355650031e-01,2.136449610518619924e+00,1.601908649088429942e-05,1.565393881781429835e-05
3.564320951361440122e+07,3.395041654682619866e-03,6.375075663890189537e-02,2.678173692502129888e-01,2.135387378163009942e+00,1.597296298865479987e-05,1.560782204668540002e-05
3.565808694708359987e+07,3.157910027799199892e-03,6.374202604022670415e-02,2.679638160881540054e-01,2.146101184998050027e+00,1.505580409469210019e-05,1.469065770665809919e-05
3.567308849565929919e+07,3.345680400652609795e-03,6.373312397911519434e-02,2.677001102355109907e-01,2.137834725451480011e+00,1.601908649088340156e-05,1.565393881781349875e-05
3.568820951361440122e+07,3.395041654682919973e-03,6.375075663890289457e-02,2.678173692502510139e-01,2.136772456862490177e+00,1.597296298865479987e-05,1.560782204668540002e-05
3.570308694708359987e+07,3.157910027798100077e-03,6.374202604022680130e-02,2.679638160881370190e-01,2.147486228048990142e+00,1.505580409469170039e-05,1.469065770665779934e-05
3.571808849565929919e+07,3.345680400654740035e-03,6.373312397911469473e-02,2.677001102355089923e-01,2.139219732557180009e+00,1.601908649088520066e-05,1.565393881781530124e-05
3.573320951361440122e+07,3.395041654683060052e-03,6.375075663890410194e-02,2.678173692502829883e-01,2.138157427737799932e+00,1.597296298865499977e-05,1.560782204668550167e-05
3.574808694708359987e+07,3.157910027796030118e-03,6.374202604022570495e-02,2.679638160880949971e-01,2.148871163278580187e+00,1.505580409468910000e-05,1.469065770665520064e-05
3.576308849565929919e+07,3.345680400654540108e-03,6.373312397911409799e-02,2.677001102355109907e-01,2.140604631844360117e+00,1.601908649088440106e-05,1.565393881781439999e-05
3.577820951361440122e+07,3.395041654683149824e-03,6.375075663890529543e-02,2.678173692503070247e-01,2.139542290797329827e+00,1.597296298865539957e-05,1.560782204668590147e-05
3.579308694708359987e+07,3.157910027796230045e-03,6.374202604022470575e-02,2.679638160880600251e-01,2.150255990695080222e+00,1.505580409468939985e-05,1.469065770665540054e-05
3.580808849565929919e+07,3.345680400655489869e-03,6.373312397911459759e-02,2.677001102355430207e-01,2.141989423321250197e+00,1.601908649088480086e-05,1.565393881781490144e-05
